date,hospital,supplier,daily_consumption,stock_remaining,supplier_delayed
2026-08-11,Victoria Hospital,Supplier_A,70,3753,0
2026-08-12,Victoria Hospital,Supplier_A,96,3657,0
2026-08-13,Victoria Hospital,Supplier_A,96,3561,0
2026-08-14,Victoria Hospital,Supplier_A,109,3452,0
2026-08-15,Victoria Hospital,Supplier_A,80,3372,0
2026-08-16,Victoria Hospital,Supplier_A,81,3291,0
2026-08-17,Victoria Hospital,Supplier_A,80,3211,0
2026-08-18,Victoria Hospital,Supplier_A,74,3137,0
2026-08-19,Victoria Hospital,Supplier_A,43,3094,0
2026-08-20,Victoria Hospital,Supplier_A,108,2986,0
2026-08-21,Victoria Hospital,Supplier_A,105,2881,0
2026-08-22,Victoria Hospital,Supplier_A,63,2818,0
2026-08-23,Victoria Hospital,Supplier_A,83,2735,0
2026-08-24,Victoria Hospital,Supplier_A,77,2658,0
2026-08-25,Victoria Hospital,Supplier_A,78,2580,0
2026-08-26,Victoria Hospital,Supplier_A,52,2528,0
2026-08-27,Victoria Hospital,Supplier_A,79,2449,0
2026-08-28,Victoria Hospital,Supplier_A,101,2348,0
2026-08-29,Victoria Hospital,Supplier_A,137,2211,0
2026-08-30,Victoria Hospital,Supplier_A,98,2113,0
2026-08-31,Victoria Hospital,Supplier_A,93,2020,0
2026-09-01,Victoria Hospital,Supplier_A,81,1939,0
2026-09-02,Victoria Hospital,Supplier_A,80,1859,0
2026-09-03,Victoria Hospital,Supplier_A,108,1751,0
2026-09-04,Victoria Hospital,Supplier_A,96,1655,0
2026-09-05,Victoria Hospital,Supplier_A,79,1576,0
2026-09-06,Victoria Hospital,Supplier_A,72,1504,0
2026-09-07,Victoria Hospital,Supplier_A,88,1416,1
2026-09-08,Victoria Hospital,Supplier_A,81,1335,1
2026-09-09,Victoria Hospital,Supplier_A,90,1245,1
2026-08-11,Aster CMI (Hebbal),Supplier_B,83,4565,0
2026-08-12,Aster CMI (Hebbal),Supplier_B,64,4501,0
2026-08-13,Aster CMI (Hebbal),Supplier_B,54,4447,0
2026-08-14,Aster CMI (Hebbal),Supplier_B,69,4378,0
2026-08-15,Aster CMI (Hebbal),Supplier_B,68,4310,0
2026-08-16,Aster CMI (Hebbal),Supplier_B,75,4235,0
2026-08-17,Aster CMI (Hebbal),Supplier_B,72,4163,0
2026-08-18,Aster CMI (Hebbal),Supplier_B,93,4070,0
2026-08-19,Aster CMI (Hebbal),Supplier_B,85,3985,0
2026-08-20,Aster CMI (Hebbal),Supplier_B,72,3913,0
2026-08-21,Aster CMI (Hebbal),Supplier_B,61,3852,0
2026-08-22,Aster CMI (Hebbal),Supplier_B,92,3760,0
2026-08-23,Aster CMI (Hebbal),Supplier_B,86,3674,0
2026-08-24,Aster CMI (Hebbal),Supplier_B,114,3560,0
2026-08-25,Aster CMI (Hebbal),Supplier_B,78,3482,0
2026-08-26,Aster CMI (Hebbal),Supplier_B,99,3383,0
2026-08-27,Aster CMI (Hebbal),Supplier_B,81,3302,0
2026-08-28,Aster CMI (Hebbal),Supplier_B,76,3226,0
2026-08-29,Aster CMI (Hebbal),Supplier_B,52,3174,0
2026-08-30,Aster CMI (Hebbal),Supplier_B,85,3089,0
2026-08-31,Aster CMI (Hebbal),Supplier_B,62,3027,0
2026-09-01,Aster CMI (Hebbal),Supplier_B,67,2960,0
2026-09-02,Aster CMI (Hebbal),Supplier_B,74,2886,0
2026-09-03,Aster CMI (Hebbal),Supplier_B,70,2816,0
2026-09-04,Aster CMI (Hebbal),Supplier_B,51,2765,0
2026-09-05,Aster CMI (Hebbal),Supplier_B,63,2702,0
2026-09-06,Aster CMI (Hebbal),Supplier_B,88,2614,0
2026-09-07,Aster CMI (Hebbal),Supplier_B,85,2529,0
2026-09-08,Aster CMI (Hebbal),Supplier_B,85,2444,0
2026-09-09,Aster CMI (Hebbal),Supplier_B,77,2367,0
2026-08-11,Manipal Hospital (HAL),Supplier_B,65,2295,0
2026-08-12,Manipal Hospital (HAL),Supplier_B,78,2217,0
2026-08-13,Manipal Hospital (HAL),Supplier_B,103,2114,0
2026-08-14,Manipal Hospital (HAL),Supplier_B,62,2052,0
2026-08-15,Manipal Hospital (HAL),Supplier_B,95,1957,0
2026-08-16,Manipal Hospital (HAL),Supplier_B,107,1850,0
2026-08-17,Manipal Hospital (HAL),Supplier_B,87,1763,0
2026-08-18,Manipal Hospital (HAL),Supplier_B,53,1710,0
2026-08-19,Manipal Hospital (HAL),Supplier_B,85,1625,0
2026-08-20,Manipal Hospital (HAL),Supplier_B,78,1547,0
2026-08-21,Manipal Hospital (HAL),Supplier_B,87,1460,0
2026-08-22,Manipal Hospital (HAL),Supplier_B,91,1369,0
2026-08-23,Manipal Hospital (HAL),Supplier_B,67,1302,0
2026-08-24,Manipal Hospital (HAL),Supplier_B,66,1236,0
2026-08-25,Manipal Hospital (HAL),Supplier_B,77,1159,0
