,Victoria Hospital,Aster CMI (Hebbal),Manipal Hospital (HAL),Apollo (Jayanagar),Fortis (Bannerghatta),NIMHANS,St. John's Medical,Ramaiah Memorial,Narayana Health (Bommasandra),BGS Gleneagles (Kengeri)
Victoria Hospital,0,45,35,15,30,10,20,35,55,40
Aster CMI (Hebbal),45,0,50,55,65,40,50,20,80,60
Manipal Hospital (HAL),35,50,0,25,45,30,20,55,60,70
Apollo (Jayanagar),15,55,25,0,20,12,15,45,40,35
Fortis (Bannerghatta),30,65,45,20,0,25,20,55,30,45
NIMHANS,10,40,30,12,25,0,15,40,45,35
St. John's Medical,20,50,20,15,20,15,0,45,35,50
Ramaiah Memorial,35,20,55,45,55,40,45,0,75,50
Narayana Health (Bommasandra),55,80,60,40,30,45,35,75,0,65
BGS Gleneagles (Kengeri),40,60,70,35,45,35,50,50,65,0
